scope,policy,pin_frac,budget_gib,slots,requests,hits,misses,hit_rate,evictions,miss_frac,ssd_GiB_total,ssd_MiB_per_token,wall_prod_0.29,wall_lanes1_0.35,wall_qd1_0.37,wall_3gibs,wall_5gibs,wall_7gibs,wall_12gibs,ram_cost_GiB
full,lru,0.5,20,1606,5099,2668,2431,0.52324,825,0.47676,30.27,1937.2,6.52,5.41,5.11,0.63,0.38,0.27,0.16,20.0
full,engine_priority_lru,0.5,20,1606,5099,2227,2872,0.436752,1266,0.563248,35.76,2288.6,7.71,6.39,6.04,0.74,0.45,0.32,0.19,20.0
full,arc,0.5,20,1606,5099,2663,2436,0.522259,830,0.477741,30.33,1941.2,6.54,5.42,5.12,0.63,0.38,0.27,0.16,20.0
full,lfu,0.5,20,1606,5099,2668,2431,0.52324,825,0.47676,30.27,1937.2,6.52,5.41,5.11,0.63,0.38,0.27,0.16,20.0
full,static_freq,0.5,20,1606,5099,4341,758,0.851343,0,0.148657,9.44,604.0,2.03,1.69,1.59,0.2,0.12,0.08,0.05,20.0
full,static_layer_freq,0.5,20,1606,5099,4325,774,0.848206,0,0.151794,9.64,616.8,2.08,1.72,1.63,0.2,0.12,0.09,0.05,20.0
full,freq_lru,0.25,20,1606,5099,3082,2017,0.604432,812,0.395568,25.11,1607.3,5.41,4.48,4.24,0.52,0.31,0.22,0.13,20.0
full,freq_lru,0.5,20,1606,5099,3538,1561,0.693862,758,0.306138,19.44,1243.9,4.19,3.47,3.28,0.4,0.24,0.17,0.1,20.0
full,freq_lru,0.75,20,1606,5099,3939,1160,0.772504,758,0.227496,14.44,924.4,3.11,2.58,2.44,0.3,0.18,0.13,0.08,20.0
full,freq_lru_warmup,0.5,20,1606,5099,3458,1641,0.678172,838,0.321828,20.43,1307.7,4.4,3.65,3.45,0.43,0.26,0.18,0.11,20.0
full,freq_x_recency,0.5,20,1606,5099,2668,2431,0.52324,825,0.47676,30.27,1937.2,6.52,5.41,5.11,0.63,0.38,0.27,0.16,20.0
full,layer_lru,0.5,20,1606,5099,2641,2458,0.517945,868,0.482055,30.6,1958.7,6.6,5.47,5.17,0.64,0.38,0.27,0.16,20.0
full,cost_aware,0.5,20,1606,5099,2668,2431,0.52324,825,0.47676,30.27,1937.2,6.52,5.41,5.11,0.63,0.38,0.27,0.16,20.0
full,belady,0.5,20,1606,5099,2735,2364,0.53638,758,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,20.0
full,lru,0.5,24,1927,5099,2707,2392,0.530888,465,0.469112,29.78,1906.1,6.42,5.32,5.03,0.62,0.37,0.27,0.16,24.0
full,engine_priority_lru,0.5,24,1927,5099,2596,2503,0.509119,576,0.490881,31.17,1994.6,6.72,5.57,5.26,0.65,0.39,0.28,0.16,24.0
full,arc,0.5,24,1927,5099,2707,2392,0.530888,465,0.469112,29.78,1906.1,6.42,5.32,5.03,0.62,0.37,0.27,0.16,24.0
full,lfu,0.5,24,1927,5099,2707,2392,0.530888,465,0.469112,29.78,1906.1,6.42,5.32,5.03,0.62,0.37,0.27,0.16,24.0
full,static_freq,0.5,24,1927,5099,4662,437,0.914297,0,0.085703,5.44,348.2,1.17,0.97,0.92,0.11,0.07,0.05,0.03,24.0
full,static_layer_freq,0.5,24,1927,5099,4615,484,0.905079,0,0.094921,6.03,385.7,1.3,1.08,1.02,0.13,0.08,0.05,0.03,24.0
full,freq_lru,0.25,24,1927,5099,3191,1908,0.625809,462,0.374191,23.76,1520.4,5.12,4.24,4.01,0.49,0.3,0.21,0.12,24.0
full,freq_lru,0.5,24,1927,5099,3698,1401,0.72524,437,0.27476,17.44,1116.4,3.76,3.12,2.95,0.36,0.22,0.16,0.09,24.0
full,freq_lru,0.75,24,1927,5099,4180,919,0.819769,437,0.180231,11.44,732.3,2.47,2.04,1.93,0.24,0.14,0.1,0.06,24.0
full,freq_lru_warmup,0.5,24,1927,5099,3669,1430,0.719553,466,0.280447,17.81,1139.5,3.84,3.18,3.01,0.37,0.22,0.16,0.09,24.0
full,freq_x_recency,0.5,24,1927,5099,2707,2392,0.530888,465,0.469112,29.78,1906.1,6.42,5.32,5.03,0.62,0.37,0.27,0.16,24.0
